period,unit_coverage_pct,unit_coverage_min,unit_coverage_max,all_tests_coverage_pct,coverage_observations,cves_reported,period_start,period_end
2019Q3,31.832131099340856,31.832131099340856,31.832131099340856,62.83,1,44,2019-07-01,2019-09-30
2019Q4,32.117546372760714,31.95237593922649,32.259337523631565,63.946666666666665,3,26,2019-10-01,2019-12-31
2020Q1,31.64049201379244,31.255742437693858,31.943522720153357,63.163333333333334,3,30,2020-01-01,2020-03-31
2020Q2,32.37575543248838,31.957299549274172,32.76139200998752,63.45333333333334,3,40,2020-04-01,2020-06-30
2020Q3,33.0949173638457,32.95413257134702,33.29296277245299,63.76,3,28,2020-07-01,2020-09-30
2020Q4,33.81194978038021,33.560183769579254,34.01716488925433,64.57333333333334,3,43,2020-10-01,2020-12-31
2021Q1,34.09032827385216,33.85344866221485,34.4658523299267,64.34333333333333,3,37,2021-01-01,2021-03-31
2021Q2,34.98997361898865,34.748447926948714,35.21939547131764,64.71666666666667,3,25,2021-04-01,2021-06-30
2021Q3,35.65712127345611,35.460955213219584,35.82620501091776,65.02,3,27,2021-07-01,2021-09-30
2021Q4,33.77943905132188,32.75608936865148,34.41607122318541,62.32,3,34,2021-10-01,2021-12-31
2022Q1,34.52375207745462,34.47940536304066,34.57405379368635,62.57,3,40,2022-01-01,2022-03-31
2022Q2,34.20579932805148,33.99460135475437,34.41451493474023,62.723333333333336,3,54,2022-04-01,2022-06-30
2022Q3,35.087532908454875,34.29344944542443,35.50794021540609,64.35333333333334,3,23,2022-07-01,2022-09-30
2022Q4,35.467454781742596,35.377113960468044,35.54078765358496,64.84666666666666,3,38,2022-10-01,2022-12-31
2023Q1,35.13854787650987,34.772596119632034,35.37968031437623,65.25666666666666,3,42,2023-01-01,2023-03-31
2023Q2,34.98907294004328,34.905235744611886,35.10428399170946,65.11333333333333,3,39,2023-04-01,2023-06-30
2023Q3,35.33846214428319,35.14793010020902,35.610101728396906,65.52999999999999,3,54,2023-07-01,2023-09-30
2023Q4,35.228732065247335,35.05668524917598,35.40953837800856,65.62333333333333,3,39,2023-10-01,2023-12-31
2024Q1,34.37032280697205,34.039789186798906,35.000423717817256,65.20333333333333,3,41,2024-01-01,2024-03-31
2024Q2,33.821466239229785,33.68939673473121,33.966945897179585,64.14333333333333,3,48,2024-04-01,2024-06-30
2024Q3,34.38275753359009,34.20587285440529,34.496977318091254,61.71333333333333,3,41,2024-07-01,2024-09-30
2025Q3,33.82588877703615,33.42914705649681,34.02687889087139,63.46666666666667,3,41,2025-07-01,2025-09-30
2025Q4,31.679209114068453,30.94454193508442,32.858693485237694,67.25,3,46,2025-10-01,2025-12-31
2026Q1,31.93544293702932,26.816833066117667,37.05405280794097,61.510000000000005,2,119,2026-01-01,2026-03-31
2026Q2,28.47026211341017,26.563177983463916,29.573373355140603,58.846666666666664,3,134,2026-04-01,2026-06-30
2026Q3,31.40937036335961,31.40841441507968,31.41032631163954,60.125,2,124,2026-07-01,2026-09-30
