month,candidate_rank,candidate_score,revision,accepted,reasons,all_tests_lines_total,all_tests_root_coverage_pct,unit_union_coverage_pct
2019-09,1,0.15715705234570349,70e7c3ef6cae2266147c38ad250692ffe84aec26,True,,3537165,62.83,31.832131099340856
2019-10,1,0.049234266036232106,585fe45563356a10a9d53cddfeda2bd699e46dd5,True,,3557742,64.33,32.259337523631565
2019-11,1,0.26829615313419575,bcbb45f7d4f1b22fc74d2ee96b92c6f2233495aa,True,,3571556,63.5,31.95237593922649
2019-12,1,0.09224450084768886,0c3bc698f640e1c8208f369255d3a9f7390b76ee,True,,3561282,64.01,32.140925655424084
2020-01,1,0.35345211414641947,cb06fe24fb3e92278f1baf45b1332922f260bb1a,True,,3468948,63.22,31.722210883530106
2020-02,1,0.27654932430555557,7b794b53736c781545273accf33ed5bd23d0abea,True,,3613448,62.45,31.255742437693858
2020-03,1,0.5424482835049601,82d250cf8fabf9a76db02499407f8d11ce12f0f2,True,,3527507,63.82,31.943522720153354
2020-04,1,0.14745794574682658,48cefa8cc0584b7184747c73654d1ed3ba778cf3,True,,3852231,62.92,31.957299549274175
2020-05,1,0.12023236777160068,56c09d42f411246e407fe30418c27e67a6a44d29,True,,3869226,63.19,32.408574738203455
2020-06,1,0.08017228946997362,f05a0084c5f20abf47fa332ab5ec5c953ba48eb1,True,,3844800,64.25,32.76139200998752
2020-07,1,0.1104982035875121,d4c6cd2e13bb057eb4d5f8c579f440936bf17241,True,,3861539,63.99,33.03765674773711
2020-08,1,0.11117778278500623,605c404fbd80c67e1127ac054b8bec6742bd748f,True,,3882367,63.9,33.29296277245299
2020-09,1,0.23416425689478265,8c8f6d93ade332edc31bba40a8bddb6aab1ef963,True,,3979774,63.39,32.95413257134702
2020-10,1,0.16953008415454424,a6aaf0c8e183f7eff7a668f9b4c6c52c39958c9b,True,,3908155,64.47,33.560183769579254
2020-11,1,0.39723677309012856,cadd17ae918b22f2b2d3db0d78137ebbb7544f64,True,,3913927,64.89,33.85850068230705
2020-12,1,0.16274777071794375,de82276dbe0fc291c5d9526a7dbc1b736010873a,True,,3880829,64.36,34.01716488925433
2021-01,1,0.10344714359936351,0695ec653f99879731861e8760894f83c192a229,True,,3904775,64.23,33.85344866221485
2021-02,1,0.11624174893806408,160b47b7163e1a80ac366e0ef9fc10b631c35c03,True,,3946629,64.27,33.951683829414925
2021-03,1,0.09741412165640914,f2134bdaf09c9e5939c787a9bd2d1475e82674a5,True,,3939566,64.53,34.4658523299267
2021-04,1,0.06367059672704668,e105fb5fb5cfef90d80a69e121f971a08df83e64,True,,3935865,64.81,34.748447926948714
2021-05,1,0.1541861332825678,01f5d81f0afe7c1958a225d981bac39f52ae93fe,True,,3949537,64.62,35.00207745869959
2021-06,1,0.09627077606644603,b7d44f6d500311bc4f0f889dbd924f790368ca5b,True,,3975196,64.72,35.21939547131764
2021-07,1,0.08165102175323626,7ec7dd0cc7acbd0941e8b97e126a62faaffbc20e,True,,4017308,65.36,35.82620501091776
2021-08,1,0.07018007142465933,5dedfa40a55fc4c3265fd036f5c9d89b5164db41,True,,4026389,64.85,35.460955213219584
2021-09,1,0.12161202516779149,149a7c7573f2ef4a0a198c649a78fa177a54dc51,True,,4009976,64.85,35.684203596231
2021-10,1,0.1263840384344075,e361209af61f51a3fa1dbf9ea8a2d276e22cc5bf,True,,4028586,64.59,34.16615656212875
2021-11,1,0.024874891168106,b16763f1da6bcf31f964744c765c4af480ae551c,True,,4316950,59.8,32.75608936865148
2021-12,1,0.06503119503549339,06c7b4e2d14be1ee8050d6c1eb1ab1bab19ac3c2,True,,4329826,62.57,34.41607122318541
2022-01,1,0.09209167742967674,60998033086a179f73edd702599f93ab75ff443e,True,,4350890,62.48,34.47940536304066
2022-02,1,0.053159940502151136,d0676cb0864b870062fed21bc900d6fbb3cf5670,True,,4365942,62.52,34.51779707563683
2022-03,1,0.04449778631301514,7e01ab125e4caeeeb7bdb0a58471f502063b1e19,True,,4401260,62.71,34.57405379368635
2022-04,1,0.5294345030302071,ba973417adb8c738b0ab57328fd28133c77bcf5b,True,,4417775,62.62,33.99460135475437
2022-05,1,0.048784334708729865,a47e970555ccc1ecc6c7d8057ce171544080ca4b,True,,4425785,62.7,34.20828169465982
2022-06,1,0.06930781289533798,466d30a90a012ce9d5a620c6d61b9176be8d8641,True,,4425621,62.85,34.41451493474023
2022-07,1,0.05804587796799092,e5753b90aac1335437c0779c6c6f28566d63502e,True,,4441685,62.76,34.29344944542443
2022-08,1,0.17994898491657402,dd1d7c05b99468938df303f771b87af8f56be301,True,,4203018,65.33,35.4612090645341
2022-09,1,0.037890011579299054,e2ce8d3d4a4b01bf3ec52fb795c5f8c392c1476b,True,,4221422,64.97,35.50794021540609
2022-10,1,0.10952687422032946,5cbd3d92a78c54b324b6009a25d196adaa8a669b,True,,4219210,64.77,35.484462731174794
2022-11,1,0.03600545947970417,1adc82d1eb960a8a6aac68b9abceaac3fd491abb,True,,4216803,64.86,35.54078765358496
2022-12,1,0.12542443924076663,4af9c56eb6d839421d69f2962c3819dbcdd7cf21,True,,4232222,64.91,35.377113960468044
2023-01,1,0.04512087714795689,963d01420434d6362dd68e79aa36aaf2219b33c7,True,,4241542,65.31,35.37968031437623
2023-02,1,0.04626454709718292,36b67e826e2dfa1eedbc9567f9bb3be61c431a7e,True,,4257689,65.19,34.772596119632034
2023-03,1,0.039863065588888,1b23793f3953df4f0340a6da671e4f97082f824a,True,,4269856,65.27,35.26336719552135
2023-04,1,0.07089691862770699,1e648bd9608aa1a18387d381a728b512237a1efe,True,,4277646,65.3,35.10428399170946
2023-05,1,0.03172250183158437,6854d5a61f68124288044381b0a94207c541e80a,True,,4294499,64.95,34.905235744611886
2023-06,1,0.052574270447990464,c5ccbac639929af650a1c338a7652ef76a7e1ee3,True,,4289387,65.09,34.95769908380848
2023-07,1,0.05348741690894687,196cda3a105202c8969a926a0637db0e0014c07d,True,,4288674,65.28,35.257354604243645
2023-08,1,0.046352127087510596,88ec6682eab1c5c36cb839c8db0156446559a1cb,True,,4280614,65.71,35.610101728396906
2023-09,1,0.020102325754282925,02f7c436b43f486a8aec92c449f2df1fedf9226a,True,,4279555,65.6,35.14793010020902
2023-10,1,0.052204321797992906,3f99c563251ec523301e9d46e6904989fc827306,True,,4260804,65.59,35.21997256855748
2023-11,1,0.047464481233708264,0083ca2f4709e599083520545d538d1ee1b8356d,True,,4265660,65.55,35.05668524917598
2023-12,1,0.1692874107886733,6d6d4867b0f48dce26d871d94c5f74f5a8ac6aaf,True,,4276681,65.73,35.409538378008556
2024-01,1,0.08607278274737105,23a77d3c25d74ed46ebb77f47fda83c7b6dcdb45,True,,4354313,65.63,35.000423717817256
2024-02,1,0.054527945998787374,981afc9a696a12b7e873eae165925138a2726efe,True,,4420037,64.98,34.070755516299975
2024-03,1,0.047892038908965755,4b69d32113781e4489234ce2c9cf8f5b5dcbce5a,True,,4432360,65.0,34.039789186798906
2024-04,1,0.07798534253176115,25a22c2f939167a119d912b3fe61312db879d576,True,,4453668,64.74,33.966945897179585
2024-05,1,0.11061115694786018,d2559b875116c39b9f40c8860f487916db812831,True,,4499679,64.49,33.80805608577856
2024-06,1,0.09451126655705988,0145baa9151f309dfdb4505d7f72f5244f0e569d,True,,4504254,63.2,33.68939673473121
2024-07,1,0.2416972659956665,d2cde533d9490a661d586893e9f539382073c8a7,True,,4527455,63.67,34.44542242827372
2024-08,1,0.050809950859544886,35292ed5ccd315545be61708ca54ef3a7b95feb1,True,,4536038,63.89,34.496977318091254
2024-09,1,0.04192169384991165,4e8c91ef58bf4407e05a3d6733d7b7203621e8b6,True,,4297876,57.58,34.20587285440529
2025-07,1,0.3866157296665321,4888c6dd04636d0a40e54a417917653ee4e32399,True,,4764056,63.88,34.02164038374024
2025-08,1,0.07703301049553515,0a5fc8db79ed7e73b2f6a17855cda9a6c842bdae,True,,4801463,63.7,34.02687889087139
2025-09,1,0.21708557736442208,75d829afb4b06a3a8b7e91ea15c8a0cf34665fb7,True,,4866735,62.82,33.42914705649681
2025-10,1,0.05562544874357413,045af2ff58cc0d0a0d31973093f866e876f61f28,True,,4895712,62.55,32.858693485237694
2025-11,1,0.34927577113939307,95ed8ab23f3939bca3437acb008a33f7c4743646,True,,1705447,69.97,31.234391921883237
2025-12,1,0.07810693892437866,8c39f0d3b6fe6d7c3b23f49999e354e132a16605,True,,1744327,69.23,30.94454193508442
2026-01,1,0.8214942606686423,d630ef7d293f2e0da8df4add763f76010f4f119a,True,,1344722,63.27,37.05405280794097
2026-03,1,0.03112303898593024,c88d643b1d753a46526dbee7f44d89212fff48ff,True,,4997212,59.75,26.816833066117667
2026-04,1,0.13887340926173042,bb7e4d6d24f297c574d5fd71586cc7724a65dc58,True,,5049441,59.21,26.563177983463913
2026-05,1,0.11985328565871865,e9358a356b31f7db95cfdf055919e34ef43d7e85,True,,2669156,58.3,29.274235001625982
2026-06,1,0.06756759054187987,533aa28a48d84d3d54c3616c333754b4a3ddfcc8,True,,2657218,59.03,29.573373355140603
2026-07,1,0.17412727930030256,81e16b8b160978895af87d9470e428747b0f3331,True,,2491724,60.9,31.40841441507968
2026-08,1,0.11969689076213401,be1ad74e08cab1c71617c3f54a0b95bc01641eab,True,,2503527,59.35,31.41032631163954
