month,report_time_utc,revision,unit_union_lines_covered,all_tests_lines_total,unit_union_coverage_pct,all_tests_root_coverage_pct,all_tests_root_lines_covered,gtest_root_coverage_pct,gtest_root_lines_covered,gtest_root_lines_total,cppunittest_root_coverage_pct,cppunittest_root_lines_covered,cppunittest_root_lines_total,xpcshell_root_coverage_pct,xpcshell_root_lines_covered,xpcshell_root_lines_total,all_object,gtest_object,cppunittest_object,xpcshell_object,candidate_rank,candidate_score,analysis_quality_ok,quality_note
2019-09,2019-09-11T12:23:17.873000+00:00,70e7c3ef6cae2266147c38ad250692ffe84aec26,1125955,3537165,31.832131099340856,62.83,2222343,16.09,476357,2961366,5.23,143315,2741618,29.29,920290,3141577,mozilla-central/70e7c3ef6cae2266147c38ad250692ffe84aec26/all:all.json.zstd,mozilla-central/70e7c3ef6cae2266147c38ad250692ffe84aec26/all:gtest.json.zstd,mozilla-central/70e7c3ef6cae2266147c38ad250692ffe84aec26/all:cppunittest.json.zstd,mozilla-central/70e7c3ef6cae2266147c38ad250692ffe84aec26/all:xpcshell.json.zstd,1,0.15715705234570349,True,
2019-10,2019-10-14T19:46:36.680000+00:00,585fe45563356a10a9d53cddfeda2bd699e46dd5,1147704,3557742,32.259337523631565,64.33,2288819,16.43,476281,2899074,5.66,151489,2675484,30.32,941008,3103382,mozilla-central/585fe45563356a10a9d53cddfeda2bd699e46dd5/all:all.json.zstd,mozilla-central/585fe45563356a10a9d53cddfeda2bd699e46dd5/all:gtest.json.zstd,mozilla-central/585fe45563356a10a9d53cddfeda2bd699e46dd5/all:cppunittest.json.zstd,mozilla-central/585fe45563356a10a9d53cddfeda2bd699e46dd5/all:xpcshell.json.zstd,1,0.049234266036232106,True,
2019-11,2019-11-27T06:45:48.363000+00:00,bcbb45f7d4f1b22fc74d2ee96b92c6f2233495aa,1141197,3571556,31.95237593922649,63.5,2267833,16.17,475225,2939040,5.54,150516,2718274,29.73,934439,3143444,mozilla-central/bcbb45f7d4f1b22fc74d2ee96b92c6f2233495aa/all:all.json.zstd,mozilla-central/bcbb45f7d4f1b22fc74d2ee96b92c6f2233495aa/all:gtest.json.zstd,mozilla-central/bcbb45f7d4f1b22fc74d2ee96b92c6f2233495aa/all:cppunittest.json.zstd,mozilla-central/bcbb45f7d4f1b22fc74d2ee96b92c6f2233495aa/all:xpcshell.json.zstd,1,0.26829615313419575,True,
2019-12,2019-12-14T18:09:34.928000+00:00,0c3bc698f640e1c8208f369255d3a9f7390b76ee,1144629,3561282,32.140925655424084,64.01,2279552,16.38,478654,2921988,5.6,151187,2700894,29.95,936954,3127878,mozilla-central/0c3bc698f640e1c8208f369255d3a9f7390b76ee/all:all.json.zstd,mozilla-central/0c3bc698f640e1c8208f369255d3a9f7390b76ee/all:gtest.json.zstd,mozilla-central/0c3bc698f640e1c8208f369255d3a9f7390b76ee/all:cppunittest.json.zstd,mozilla-central/0c3bc698f640e1c8208f369255d3a9f7390b76ee/all:xpcshell.json.zstd,1,0.09224450084768886,True,
2020-01,2020-01-18T09:21:24.012000+00:00,cb06fe24fb3e92278f1baf45b1332922f260bb1a,1100427,3468948,31.722210883530106,63.22,2193093,16.09,455769,2832659,4.8,135614,2824487,29.46,898133,3048626,mozilla-central/cb06fe24fb3e92278f1baf45b1332922f260bb1a/all:all.json.zstd,mozilla-central/cb06fe24fb3e92278f1baf45b1332922f260bb1a/all:gtest.json.zstd,mozilla-central/cb06fe24fb3e92278f1baf45b1332922f260bb1a/all:cppunittest.json.zstd,mozilla-central/cb06fe24fb3e92278f1baf45b1332922f260bb1a/all:xpcshell.json.zstd,1,0.35345211414641947,True,
2020-02,2020-02-01T16:08:26.919000+00:00,7b794b53736c781545273accf33ed5bd23d0abea,1129410,3613448,31.255742437693858,62.45,2256519,15.82,471031,2977315,4.68,138951,2969148,28.83,920824,3193636,mozilla-central/7b794b53736c781545273accf33ed5bd23d0abea/all:all.json.zstd,mozilla-central/7b794b53736c781545273accf33ed5bd23d0abea/all:gtest.json.zstd,mozilla-central/7b794b53736c781545273accf33ed5bd23d0abea/all:cppunittest.json.zstd,mozilla-central/7b794b53736c781545273accf33ed5bd23d0abea/all:xpcshell.json.zstd,1,0.27654932430555557,True,
2020-03,2020-03-13T13:24:33.941000+00:00,82d250cf8fabf9a76db02499407f8d11ce12f0f2,1126810,3527507,31.943522720153354,63.82,2251348,16.26,469971,2889758,4.82,138922,2881591,29.57,918704,3106504,mozilla-central/82d250cf8fabf9a76db02499407f8d11ce12f0f2/all:all.json.zstd,mozilla-central/82d250cf8fabf9a76db02499407f8d11ce12f0f2/all:gtest.json.zstd,mozilla-central/82d250cf8fabf9a76db02499407f8d11ce12f0f2/all:cppunittest.json.zstd,mozilla-central/82d250cf8fabf9a76db02499407f8d11ce12f0f2/all:xpcshell.json.zstd,1,0.5424482835049601,True,
2020-04,2020-04-18T12:30:00.702000+00:00,48cefa8cc0584b7184747c73654d1ed3ba778cf3,1231069,3852231,31.957299549274175,62.92,2423689,16.81,539911,3211778,4.87,156031,3202055,29.25,1003834,3431334,mozilla-central/48cefa8cc0584b7184747c73654d1ed3ba778cf3/all:all.json.zstd,mozilla-central/48cefa8cc0584b7184747c73654d1ed3ba778cf3/all:gtest.json.zstd,mozilla-central/48cefa8cc0584b7184747c73654d1ed3ba778cf3/all:cppunittest.json.zstd,mozilla-central/48cefa8cc0584b7184747c73654d1ed3ba778cf3/all:xpcshell.json.zstd,1,0.14745794574682658,True,
2020-05,2020-05-12T13:38:05.488000+00:00,56c09d42f411246e407fe30418c27e67a6a44d29,1253961,3869226,32.408574738203455,63.19,2444932,17.22,555878,3228917,4.87,156627,3219193,29.37,1013231,3450144,mozilla-central/56c09d42f411246e407fe30418c27e67a6a44d29/all:all.json.zstd,mozilla-central/56c09d42f411246e407fe30418c27e67a6a44d29/all:gtest.json.zstd,mozilla-central/56c09d42f411246e407fe30418c27e67a6a44d29/all:cppunittest.json.zstd,mozilla-central/56c09d42f411246e407fe30418c27e67a6a44d29/all:xpcshell.json.zstd,1,0.12023236777160068,True,
2020-06,2020-06-16T12:28:30.672000+00:00,f05a0084c5f20abf47fa332ab5ec5c953ba48eb1,1259610,3844800,32.76139200998752,64.25,2470429,17.35,555305,3200182,4.95,157983,3190458,29.78,1019653,3424453,mozilla-central/f05a0084c5f20abf47fa332ab5ec5c953ba48eb1/all:all.json.zstd,mozilla-central/f05a0084c5f20abf47fa332ab5ec5c953ba48eb1/all:gtest.json.zstd,mozilla-central/f05a0084c5f20abf47fa332ab5ec5c953ba48eb1/all:cppunittest.json.zstd,mozilla-central/f05a0084c5f20abf47fa332ab5ec5c953ba48eb1/all:xpcshell.json.zstd,1,0.08017228946997362,True,
