period,unit_line_coverage_pct,unit_branch_coverage_pct,coverage_observations,unit_line_total_mean,unit_branch_total_mean,cves_reported,period_start,period_end,complete_period,next_quarter_cves,next_quarter
2021Q1,53.29610262054258,38.63938524901106,110,11358105.627272727,7808244.181818182,59,2021-01-01,2021-03-31,True,89,2021Q2
2021Q2,53.46990610501507,39.9564041710347,127,11647182.346456693,7141226.992125984,89,2021-04-01,2021-06-30,True,95,2021Q3
2021Q3,54.10688736350786,42.36788649680639,80,11795767.7375,6176771.25,95,2021-07-01,2021-09-30,True,71,2021Q4
2021Q4,56.38389813725167,43.42168717834094,96,10975422.114583334,5844875.375,71,2021-10-01,2021-12-31,True,131,2022Q1
2022Q1,59.356608968104624,47.87333472210038,178,4379920.775280898,1920484.7528089888,131,2022-01-01,2022-03-31,True,90,2022Q2
2022Q2,57.8266519695577,47.40241873366687,122,3966302.0409836066,1530301.9672131147,90,2022-04-01,2022-06-30,True,99,2022Q3
2022Q3,58.05025519136615,47.48263279018982,66,4066769.409090909,1571557.8484848484,99,2022-07-01,2022-09-30,True,58,2022Q4
2022Q4,58.4001891386876,47.332713543613316,97,4134978.793814433,1620715.6288659794,58,2022-10-01,2022-12-31,True,61,2023Q1
2023Q1,55.81811931017346,44.64448391837011,59,4438105.27118644,1757136.6440677966,61,2023-01-01,2023-03-31,True,60,2023Q2
2023Q2,55.14249603287353,44.42902235860694,110,4587964.109090909,1799764.2545454546,60,2023-04-01,2023-06-30,True,71,2023Q3
2023Q3,55.468108508240775,44.62369369317329,63,4686074.873015873,1845121.238095238,71,2023-07-01,2023-09-30,True,55,2023Q4
2023Q4,56.217060503390194,44.91204974425143,90,4830206.955555555,1887966.8666666667,55,2023-10-01,2023-12-31,True,55,2024Q1
2024Q1,59.52638103879248,48.13702569944632,73,4872635.794520548,1911503.917808219,55,2024-01-01,2024-03-31,True,73,2024Q2
2024Q2,59.82149151873603,48.42549951343112,88,4972157.693181818,1956837.25,73,2024-04-01,2024-06-30,True,74,2024Q3
2024Q3,59.82086247565915,48.30520524011418,70,5067086.614285714,2004316.9714285715,74,2024-07-01,2024-09-30,True,42,2024Q4
2024Q4,60.18682807409385,49.20511790768741,92,5148526.217391305,1979456.4891304348,42,2024-10-01,2024-12-31,True,45,2025Q1
2025Q1,60.92703856760677,50.63222451737249,90,5223436.1,2235854.9555555554,45,2025-01-01,2025-03-31,True,38,2025Q2
2025Q2,60.924581466132224,50.708551444163,89,5317955.044943821,2278027.0224719103,38,2025-04-01,2025-06-30,True,55,2025Q3
2025Q3,60.93331611456278,50.596880500517905,92,5413640.684782608,2325500.934782609,55,2025-07-01,2025-09-30,True,54,2025Q4
2025Q4,60.79864728792553,50.54044800628592,91,5522795.142857143,2378528.230769231,54,2025-10-01,2025-12-31,True,128,2026Q1
2026Q1,60.76637419864004,49.84749385429285,89,5621206.146067415,2293069.1235955055,128,2026-01-01,2026-03-31,True,1510,2026Q2
