cve,reported_at_utc,reported_date,year,severity,description,component_hint,post_title,post_url
CVE-2018-6054,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,Use after free in WebUI. Reported by Rob Wu on 2017-12-24,WebUI,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6031,2018-01-24T20:30:00+00:00,2018-01-24,2018,High,Use after free in PDFium. Reported by Anonymous on 2017-11-01,PDFium,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6032,2018-01-24T20:30:00+00:00,2018-01-24,2018,High,Same origin bypass in Shared Worker. Reported by Jun Kokatsu (@shhnjk) on 2017-11-20,Shared Worker,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6033,2018-01-24T20:30:00+00:00,2018-01-24,2018,High,Race when opening downloaded files. Reported by Juho Nurminen on 2017-12-09,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6034,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Integer overflow in Blink. Reported by Tobias Klein (www.trapkit.de) on 2017-11-12,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6035,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Insufficient isolation of devtools from extensions. Reported by Rob Wu on 2017-12-23,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6036,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Integer underflow in WebAssembly. Reported by The UK's National Cyber Security Centre (NCSC) on 2017-11-30,WebAssembly,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6037,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Insufficient user gesture requirements in autofill. Reported by Paul Stone of Context Information Security on 2017-08-09,autofill,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6038,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Heap buffer overflow in WebGL. Reported by cloudfuzzer on 2017-10-12,WebGL,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6039,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,XSS in DevTools. Reported by Juho Nurminen on 2017-10-17,DevTools,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
